hash,key
295054921,annihilator2
353883353,polmav
710198397,supervolito
744705981,frogger
745926877,buzzard2
788747387,buzzard
837858166,annihilator
1044954915,skylift
1075432268,swift2
1181327175,akula
1229411063,seasparrow2
1394036463,cargobob3
1489874736,thruster
1543134283,valkyrie2
1593933419,seasparrow3
1621617168,cargobob2
1949211328,frogger2
2025593404,cargobob4
-1984275979,havok
-1845487887,volatus
-1671539132,supervolito2
-1660661558,maverick
-1600252419,valkyrie
-726768679,seasparrow
-613725916,blimp2
-477831899,conada
-339587598,swift
-307958377,blimp3
-150975354,blimp
-82626025,savage
-50547061,cargobob
-42959138,hunter
